design	evaluated_against	design_id	stat	value
all	input	4	frac-bound-highly-active	0.9389067524115756
all	input	5	frac-bound-highly-active	0.9035369774919614
all	input	6	frac-bound-highly-active	0.9035369774919614
all	input	7	frac-bound-highly-active	0.8456591639871383
all	input	8	frac-bound-highly-active	0.864951768488746
all	input	9	frac-bound-highly-active	0.9163987138263665
all	input	10	frac-bound-highly-active	0.8938906752411575
all	input	11	frac-bound-highly-active	0.9742765273311897
all	input	12	frac-bound-highly-active	0.8971061093247589
all	input	13	frac-bound-highly-active	0.00964630225080386
all	input	14	frac-bound-highly-active	0.8553054662379421
all	input	15	frac-bound-highly-active	0.1864951768488746
all	input	16	frac-bound-highly-active	0.842443729903537
all	input	17	frac-bound-highly-active	0.8906752411575563
all	input	18	frac-bound-highly-active	0.003215434083601286
all	input	19	frac-bound-highly-active	0.0
all	input	20	frac-bound-highly-active	0.03536977491961415
all	input	1	mean-guide-activity	3.1999862558173335
all	input	2	mean-guide-activity	3.129656901668804
all	input	3	mean-guide-activity	2.732876006280029
all	input	4	mean-guide-activity	3.27033936777873
all	input	5	mean-guide-activity	2.9733945729842244
all	input	6	mean-guide-activity	2.959950354059371
all	input	7	mean-guide-activity	2.926521764888923
all	input	8	mean-guide-activity	3.161198493077665
all	input	9	mean-guide-activity	3.1483371681748076
all	input	10	mean-guide-activity	2.7548777992256515
all	input	11	mean-guide-activity	3.1211865464513773
all	input	12	mean-guide-activity	3.1193887304561407
all	input	13	mean-guide-activity	2.3533282519384406
all	input	14	mean-guide-activity	3.034135326680778
all	input	15	mean-guide-activity	2.6273454707037955
all	input	16	mean-guide-activity	2.6993561840955183
all	input	17	mean-guide-activity	2.871073635053435
all	input	18	mean-guide-activity	2.1917030576881507
all	input	19	mean-guide-activity	2.3206779383216443
all	input	20	mean-guide-activity	2.4784119024436344
downsampled-sars-cov-1	sars-cov-2	1	frac-bound-active	0.9990770750880851
downsampled-sars-cov-1	sars-cov-2	2	frac-bound-active	0.0
downsampled-sars-cov-1	sars-cov-2	3	frac-bound-active	0.9980184259244179
downsampled-sars-cov-1	sars-cov-2	4	frac-bound-active	0.9835719365679138
downsampled-sars-cov-1	sars-cov-2	5	frac-bound-active	0.9946796093313137
downsampled-sars-cov-1	sars-cov-2	6	frac-bound-active	0.0009120669717747846
downsampled-sars-cov-1	sars-cov-2	7	frac-bound-active	0.9984907463205155
downsampled-sars-cov-1	sars-cov-2	8	frac-bound-active	0.0
downsampled-sars-cov-1	sars-cov-2	9	frac-bound-active	0.0
downsampled-sars-cov-1	sars-cov-2	10	frac-bound-active	0.0
downsampled-sars-cov-1	sars-cov-2	11	frac-bound-active	0.996112857429817
downsampled-sars-cov-1	sars-cov-2	12	frac-bound-active	0.001498395739344289
downsampled-sars-cov-1	sars-cov-2	13	frac-bound-active	0.9973452336357269
downsampled-sars-cov-1	sars-cov-2	14	frac-bound-active	0.0
downsampled-sars-cov-1	sars-cov-2	15	frac-bound-active	0.9962757265319196
downsampled-sars-cov-1	sars-cov-2	16	frac-bound-active	0.0
downsampled-sars-cov-1	sars-cov-2	17	frac-bound-active	5.428970070088004e-05
downsampled-sars-cov-1	sars-cov-2	18	frac-bound-active	0.9968131945688583
downsampled-sars-cov-1	sars-cov-2	19	frac-bound-active	0.0
downsampled-sars-cov-1	sars-cov-2	20	frac-bound-active	0.0
downsampled-sars-cov-1	sars-cov-2	1	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	2	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	3	frac-bound-highly-active	0.997904417552946
downsampled-sars-cov-1	sars-cov-2	4	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	5	frac-bound-highly-active	0.0018295629136196572
downsampled-sars-cov-1	sars-cov-2	6	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	7	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	8	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	9	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	10	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	11	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	12	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	13	frac-bound-highly-active	0.9965526040054942
downsampled-sars-cov-1	sars-cov-2	14	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	15	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	16	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	17	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	18	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	19	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	20	frac-bound-highly-active	0.0
downsampled-sars-cov-1	sars-cov-2	1	mean-guide-activity	2.312695044238865
downsampled-sars-cov-1	sars-cov-2	2	mean-guide-activity	0.0
downsampled-sars-cov-1	sars-cov-2	3	mean-guide-activity	3.221377924583939
downsampled-sars-cov-1	sars-cov-2	4	mean-guide-activity	2.0033813239149354
downsampled-sars-cov-1	sars-cov-2	5	mean-guide-activity	2.2061424825885068
downsampled-sars-cov-1	sars-cov-2	6	mean-guide-activity	0.002431835758475427
downsampled-sars-cov-1	sars-cov-2	7	mean-guide-activity	2.0608318130408416
downsampled-sars-cov-1	sars-cov-2	8	mean-guide-activity	0.0020422084219894904
downsampled-sars-cov-1	sars-cov-2	9	mean-guide-activity	0.0
downsampled-sars-cov-1	sars-cov-2	10	mean-guide-activity	1.6544425237155973
downsampled-sars-cov-1	sars-cov-2	11	mean-guide-activity	1.7381890901861372
downsampled-sars-cov-1	sars-cov-2	12	mean-guide-activity	0.0027547733879148936
downsampled-sars-cov-1	sars-cov-2	13	mean-guide-activity	3.1058264545717162
downsampled-sars-cov-1	sars-cov-2	14	mean-guide-activity	0.0
downsampled-sars-cov-1	sars-cov-2	15	mean-guide-activity	2.0611736735733013
downsampled-sars-cov-1	sars-cov-2	16	mean-guide-activity	2.3319468999270367
downsampled-sars-cov-1	sars-cov-2	17	mean-guide-activity	0.00010000219892850951
downsampled-sars-cov-1	sars-cov-2	18	mean-guide-activity	1.6591213585576614
downsampled-sars-cov-1	sars-cov-2	19	mean-guide-activity	1.3079313156885802e-05
downsampled-sars-cov-1	sars-cov-2	20	mean-guide-activity	1.9240317837035885
downsampled-sars-cov-1	input	1	frac-bound-active	0.9795918367346939
downsampled-sars-cov-1	input	2	frac-bound-active	0.9591836734693877
downsampled-sars-cov-1	input	3	frac-bound-active	0.9183673469387755
downsampled-sars-cov-1	input	4	frac-bound-active	0.8979591836734694
downsampled-sars-cov-1	input	5	frac-bound-active	0.8775510204081632
downsampled-sars-cov-1	input	6	frac-bound-active	0.9183673469387755
downsampled-sars-cov-1	input	7	frac-bound-active	0.9795918367346939
downsampled-sars-cov-1	input	8	frac-bound-active	0.6938775510204082
downsampled-sars-cov-1	input	9	frac-bound-active	0.9795918367346939
downsampled-sars-cov-1	input	10	frac-bound-active	0.9183673469387755
downsampled-sars-cov-1	input	11	frac-bound-active	0.8979591836734694
downsampled-sars-cov-1	input	12	frac-bound-active	0.7959183673469388
downsampled-sars-cov-1	input	13	frac-bound-active	1.0
downsampled-sars-cov-1	input	14	frac-bound-active	0.9591836734693877
downsampled-sars-cov-1	input	15	frac-bound-active	0.9591836734693877
downsampled-sars-cov-1	input	16	frac-bound-active	1.0
downsampled-sars-cov-1	input	17	frac-bound-active	0.9795918367346939
downsampled-sars-cov-1	input	18	frac-bound-active	1.0
downsampled-sars-cov-1	input	19	frac-bound-active	0.9387755102040817
downsampled-sars-cov-1	input	20	frac-bound-active	0.8163265306122449
downsampled-sars-cov-1	input	1	frac-bound-highly-active	0.7755102040816326
downsampled-sars-cov-1	input	2	frac-bound-highly-active	0.4489795918367347
downsampled-sars-cov-1	input	3	frac-bound-highly-active	0.04081632653061224
downsampled-sars-cov-1	input	4	frac-bound-highly-active	0.7959183673469388
downsampled-sars-cov-1	input	5	frac-bound-highly-active	0.22448979591836735
downsampled-sars-cov-1	input	6	frac-bound-highly-active	0.7755102040816326
downsampled-sars-cov-1	input	7	frac-bound-highly-active	0.02040816326530612
downsampled-sars-cov-1	input	8	frac-bound-highly-active	0.16326530612244897
downsampled-sars-cov-1	input	9	frac-bound-highly-active	0.24489795918367346
downsampled-sars-cov-1	input	10	frac-bound-highly-active	0.3877551020408163
downsampled-sars-cov-1	input	11	frac-bound-highly-active	0.3673469387755102
downsampled-sars-cov-1	input	12	frac-bound-highly-active	0.02040816326530612
downsampled-sars-cov-1	input	13	frac-bound-highly-active	0.6122448979591837
downsampled-sars-cov-1	input	14	frac-bound-highly-active	0.0
downsampled-sars-cov-1	input	15	frac-bound-highly-active	0.7346938775510204
downsampled-sars-cov-1	input	16	frac-bound-highly-active	0.04081632653061224
downsampled-sars-cov-1	input	17	frac-bound-highly-active	0.30612244897959184
downsampled-sars-cov-1	input	18	frac-bound-highly-active	0.02040816326530612
downsampled-sars-cov-1	input	19	frac-bound-highly-active	0.40816326530612246
downsampled-sars-cov-1	input	20	frac-bound-highly-active	0.02040816326530612
downsampled-sars-cov-1	input	1	mean-guide-activity	2.8740189391739515
downsampled-sars-cov-1	input	2	mean-guide-activity	2.4503766225308787
downsampled-sars-cov-1	input	3	mean-guide-activity	1.7452327158986305
downsampled-sars-cov-1	input	4	mean-guide-activity	2.8173066779058806
downsampled-sars-cov-1	input	5	mean-guide-activity	2.151964749608721
downsampled-sars-cov-1	input	6	mean-guide-activity	2.7608970367178625
downsampled-sars-cov-1	input	7	mean-guide-activity	2.1101080726604073
downsampled-sars-cov-1	input	8	mean-guide-activity	1.772653054217903
downsampled-sars-cov-1	input	9	mean-guide-activity	2.510346626748844
downsampled-sars-cov-1	input	10	mean-guide-activity	2.3961963738713945
downsampled-sars-cov-1	input	11	mean-guide-activity	2.208790426351586
downsampled-sars-cov-1	input	12	mean-guide-activity	1.714712298646265
downsampled-sars-cov-1	input	13	mean-guide-activity	2.7440457757638423
downsampled-sars-cov-1	input	14	mean-guide-activity	1.713758451598031
downsampled-sars-cov-1	input	15	mean-guide-activity	2.6667195668025894
downsampled-sars-cov-1	input	16	mean-guide-activity	2.4067796639033725
downsampled-sars-cov-1	input	17	mean-guide-activity	2.421325914713801
downsampled-sars-cov-1	input	18	mean-guide-activity	1.9823668453158165
downsampled-sars-cov-1	input	19	mean-guide-activity	2.595211074060323
downsampled-sars-cov-1	input	20	mean-guide-activity	1.7190152443185145
