family	genus	species	segment	refseqs
Hantaviridae	Orthohantavirus	Rockport orthohantavirus	M	NC_038694
Hantaviridae	Orthohantavirus	Rockport orthohantavirus	S	NC_038696
Hantaviridae	Orthohantavirus	Sangassou orthohantavirus	L	NC_034517
Hantaviridae	Orthohantavirus	Sangassou orthohantavirus	M	NC_034516
Hantaviridae	Orthohantavirus	Sangassou orthohantavirus	S	NC_034526
Hantaviridae	Orthohantavirus	Seoul orthohantavirus	L	NC_005238
Hantaviridae	Orthohantavirus	Seoul orthohantavirus	M	NC_005237
Hantaviridae	Orthohantavirus	Seoul orthohantavirus	S	NC_005236
Hantaviridae	Orthohantavirus	Sin Nombre orthohantavirus	L	NC_005217
Hantaviridae	Orthohantavirus	Sin Nombre orthohantavirus	M	NC_005215
Hantaviridae	Orthohantavirus	Sin Nombre orthohantavirus	S	NC_005216
Hantaviridae	Orthohantavirus	Thailand orthohantavirus	L	NC_034556
Hantaviridae	Orthohantavirus	Thailand orthohantavirus	M	NC_034563
Hantaviridae	Orthohantavirus	Thailand orthohantavirus	S	NC_034555
Hantaviridae	Orthohantavirus	Thottapalayam orthohantavirus	L	NC_010707
Hantaviridae	Orthohantavirus	Thottapalayam orthohantavirus	M	NC_010708
Hantaviridae	Orthohantavirus	Thottapalayam orthohantavirus	S	NC_010704
Hantaviridae	Orthohantavirus	Tula orthohantavirus	L	NC_005226
Hantaviridae	Orthohantavirus	Tula orthohantavirus	M	NC_005228
Hantaviridae	Orthohantavirus	Tula orthohantavirus	S	NC_005227
Hantaviridae	Orthohantavirus	Yakeshi orthohantavirus	M	NC_038705
Hantaviridae	Orthohantavirus	Yakeshi orthohantavirus	S	NC_038704
Hepadnaviridae	Orthohepadnavirus	Hepatitis B virus	None	NC_003977
Hepeviridae	Orthohepevirus	Orthohepevirus A	None	NC_001434
Hepeviridae	Orthohepevirus	Orthohepevirus B	None	NC_023425
Hepeviridae	Orthohepevirus	Orthohepevirus C	None	NC_038504
Hepeviridae	Orthohepevirus	Orthohepevirus D	None	NC_018382
Hepeviridae	Piscihepevirus	Piscihepevirus A	None	NC_015521
Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5	None	NC_006273
Herpesviridae	Lymphocryptovirus	Human gammaherpesvirus 4	None	NC_007605,NC_009334
Herpesviridae	Rhadinovirus	Human gammaherpesvirus 8	None	NC_009333
Herpesviridae	Roseolovirus	Human betaherpesvirus 6A	None	NC_001664
Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	None	NC_000898
Herpesviridae	Roseolovirus	Human betaherpesvirus 7	None	NC_001716
Herpesviridae	Simplexvirus	Human alphaherpesvirus 1	None	NC_001806
Herpesviridae	Simplexvirus	Human alphaherpesvirus 2	None	NC_001798
Herpesviridae	Varicellovirus	Human alphaherpesvirus 3	None	NC_001348
Nairoviridae	Orthonairovirus	Crimean-Congo hemorrhagic fever orthonairovirus	L	NC_005301
Nairoviridae	Orthonairovirus	Crimean-Congo hemorrhagic fever orthonairovirus	M	NC_005300
Nairoviridae	Orthonairovirus	Crimean-Congo hemorrhagic fever orthonairovirus	S	NC_005302
Nairoviridae	Orthonairovirus	Dera Ghazi Khan orthonairovirus	L	NC_034520
Nairoviridae	Orthonairovirus	Dera Ghazi Khan orthonairovirus	M	NC_034510
Nairoviridae	Orthonairovirus	Dera Ghazi Khan orthonairovirus	S	NC_034521
Nairoviridae	Orthonairovirus	Dugbe orthonairovirus	L	NC_004159
Nairoviridae	Orthonairovirus	Dugbe orthonairovirus	M	NC_004158
Nairoviridae	Orthonairovirus	Dugbe orthonairovirus	S	NC_004157
Nairoviridae	Orthonairovirus	Hazara orthonairovirus	L	NC_038709
Nairoviridae	Orthonairovirus	Hazara orthonairovirus	M	NC_038710
Nairoviridae	Orthonairovirus	Hazara orthonairovirus	S	NC_038711
Nairoviridae	Orthonairovirus	Hughes orthonairovirus	L	NC_034502
Nairoviridae	Orthonairovirus	Hughes orthonairovirus	M	NC_034494
Nairoviridae	Orthonairovirus	Hughes orthonairovirus	S	NC_034503
Nairoviridae	Orthonairovirus	Kasokero orthonairovirus	L	NC_036636
Nairoviridae	Orthonairovirus	Kasokero orthonairovirus	M	NC_029933
Nairoviridae	Orthonairovirus	Kasokero orthonairovirus	S	NC_029932
Nairoviridae	Orthonairovirus	Keterah orthonairovirus	L	NC_034392
Nairoviridae	Orthonairovirus	Keterah orthonairovirus	M	NC_034388
Nairoviridae	Orthonairovirus	Keterah orthonairovirus	S	NC_034389
Nairoviridae	Orthonairovirus	Leopards Hill virus	L	NC_025831
Nairoviridae	Orthonairovirus	Leopards Hill virus	M	NC_025832
Nairoviridae	Orthonairovirus	Leopards Hill virus	S	NC_025833
Nairoviridae	Orthonairovirus	Nairobi sheep disease orthonairovirus	L	NC_034387
Nairoviridae	Orthonairovirus	Nairobi sheep disease orthonairovirus	M	NC_034391
Nairoviridae	Orthonairovirus	Nairobi sheep disease orthonairovirus	S	NC_034386
Nairoviridae	Orthonairovirus	Qalyub orthonairovirus	L	NC_034511
Nairoviridae	Orthonairovirus	Qalyub orthonairovirus	M	NC_034522
Nairoviridae	Orthonairovirus	Qalyub orthonairovirus	S	NC_034512
Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	L	NC_034561
Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	M	NC_034554
Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	S	NC_034562
Nairoviridae	Orthonairovirus	Thiafora orthonairovirus	L	NC_039220
Nairoviridae	Orthonairovirus	Thiafora orthonairovirus	M	NC_039221
Nairoviridae	Orthonairovirus	Thiafora orthonairovirus	S	NC_039222
Nairoviridae	Orthonairovirus	Tofla virus	L	NC_029124
Nairoviridae	Orthonairovirus	Tofla virus	M	NC_029123
Nairoviridae	Orthonairovirus	Tofla virus	S	NC_029122
Nairoviridae	Orthonairovirus	Yogue virus	L	NC_029931
Nairoviridae	Orthonairovirus	Yogue virus	M	NC_029935
Nairoviridae	Orthonairovirus	Yogue virus	S	NC_029936
Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	1	NC_007378,NC_002023,NC_026438,NC_026422,NC_007373,MK676647,MK677168
Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	2	NC_002021,NC_007375,NC_026435,NC_026423,NC_007372,NC_007358,MK676648,MK677169
Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	3	NC_007376,NC_002022,NC_026437,NC_026424,NC_007371,MK676641,MK677170
Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	4	NC_007374,NC_002017,NC_026433,NC_026425,NC_007366,NC_007362,MK676642,MK677171
Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	5	NC_007381,NC_026436,NC_026426,NC_004905,NC_007369,NC_002019,MK676643,MK677172
Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	6	NC_007382,NC_026434,NC_026429,NC_007368,NC_002018,MK676644,MK677173
Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	7	NC_007377,NC_007363,NC_002016,NC_026431,NC_026427,NC_007367,NC_004907,MK676645,MK677174
Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	8	NC_007380,NC_007364,NC_002020,NC_026432,NC_026428,NC_007370,NC_004906,MK676646,MK677175
Orthomyxoviridae	Betainfluenzavirus	Influenza B virus	1	NC_002204,MK715549
Orthomyxoviridae	Betainfluenzavirus	Influenza B virus	2	NC_002205,MK715548
Orthomyxoviridae	Betainfluenzavirus	Influenza B virus	3	NC_002206,MK715550
Orthomyxoviridae	Betainfluenzavirus	Influenza B virus	4	NC_002207,MK715551
Orthomyxoviridae	Betainfluenzavirus	Influenza B virus	5	NC_002208,MK715552
Orthomyxoviridae	Betainfluenzavirus	Influenza B virus	6	NC_002209,MK715553
Orthomyxoviridae	Betainfluenzavirus	Influenza B virus	7	NC_002210,MK715554
Orthomyxoviridae	Betainfluenzavirus	Influenza B virus	8	NC_002211,MK715555
Orthomyxoviridae	Gammainfluenzavirus	Influenza C virus	1	NC_006308
Orthomyxoviridae	Gammainfluenzavirus	Influenza C virus	2	NC_006307
Orthomyxoviridae	Gammainfluenzavirus	Influenza C virus	3	NC_006309
Orthomyxoviridae	Gammainfluenzavirus	Influenza C virus	4	NC_006310
Orthomyxoviridae	Gammainfluenzavirus	Influenza C virus	5	NC_006311
Orthomyxoviridae	Gammainfluenzavirus	Influenza C virus	6	NC_006312
Orthomyxoviridae	Gammainfluenzavirus	Influenza C virus	7	NC_006306
Orthomyxoviridae	Thogotovirus	Dhori thogotovirus	1	NC_034261
Orthomyxoviridae	Thogotovirus	Dhori thogotovirus	2	NC_034254
Orthomyxoviridae	Thogotovirus	Dhori thogotovirus	3	NC_034255
Orthomyxoviridae	Thogotovirus	Dhori thogotovirus	4	NC_034262
Orthomyxoviridae	Thogotovirus	Dhori thogotovirus	5	NC_034256
Orthomyxoviridae	Thogotovirus	Dhori thogotovirus	6	NC_034263
Orthomyxoviridae	Thogotovirus	Thogoto thogotovirus	1	NC_006508
Orthomyxoviridae	Thogotovirus	Thogoto thogotovirus	2	NC_006495
Orthomyxoviridae	Thogotovirus	Thogoto thogotovirus	3	NC_006496
Orthomyxoviridae	Thogotovirus	Thogoto thogotovirus	4	NC_006506
Orthomyxoviridae	Thogotovirus	Thogoto thogotovirus	5	NC_006507
Orthomyxoviridae	Thogotovirus	Thogoto thogotovirus	6	NC_006504
Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 4	None	NC_001352
Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	None	NC_001357
Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 9	None	NC_001526
Papillomaviridae	Betapapillomavirus	Betapapillomavirus 1	None	NC_015692,NC_001531
Papillomaviridae	Betapapillomavirus	Betapapillomavirus 2	None	NC_001596
Papillomaviridae	Betapapillomavirus	Betapapillomavirus 3	None	NC_001591
Papillomaviridae	Betapapillomavirus	Betapapillomavirus 4	None	NC_004500
Papillomaviridae	Betapapillomavirus	Betapapillomavirus 5	None	NC_005134
Papillomaviridae	Betapapillomavirus	Betapapillomavirus 6	None	NC_015691
Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 18	None	NC_033781
Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 24	None	NC_023891
Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 27	None	NC_027528
Papillomaviridae	Mupapillomavirus	Mupapillomavirus 1	None	NC_001356
Papillomaviridae	unknown	Human papillomavirus	None	NC_027779
Papillomaviridae	unknown	Human papillomavirus type 85	None	NC_034616
Paramyxoviridae	Aquaparamyxovirus	Salmon aquaparamyxovirus	None	NC_025360
Paramyxoviridae	Avulavirus	Avian avulavirus 1	None	NC_039223
Paramyxoviridae	Avulavirus	Avian avulavirus 10	None	NC_025349
Paramyxoviridae	Avulavirus	Avian avulavirus 11	None	NC_025407
Paramyxoviridae	Avulavirus	Avian avulavirus 12	None	NC_025363
Paramyxoviridae	Avulavirus	Avian avulavirus 13	None	NC_030231
Paramyxoviridae	Avulavirus	Avian avulavirus 14	None	NC_039015
Paramyxoviridae	Avulavirus	Avian avulavirus 15	None	NC_034968
Paramyxoviridae	Avulavirus	Avian avulavirus 16	None	NC_039016
Paramyxoviridae	Avulavirus	Avian avulavirus 17	None	NC_039017
Paramyxoviridae	Avulavirus	Avian avulavirus 18	None	NC_039018
Paramyxoviridae	Avulavirus	Avian avulavirus 19	None	NC_039019
Paramyxoviridae	Avulavirus	Avian avulavirus 3	None	NC_025373
Paramyxoviridae	Avulavirus	Avian avulavirus 4	None	NC_019531
Paramyxoviridae	Avulavirus	Avian avulavirus 5	None	NC_025361
Paramyxoviridae	Avulavirus	Avian avulavirus 6	None	NC_039194
Paramyxoviridae	Avulavirus	Avian avulavirus 7	None	NC_025347
Paramyxoviridae	Avulavirus	Avian avulavirus 8	None	NC_039195
Paramyxoviridae	Avulavirus	Avian avulavirus 9	None	NC_025390
Paramyxoviridae	Avulavirus	Goose paramyxovirus SF02	None	NC_005036
Paramyxoviridae	Ferlavirus	Reptilian ferlavirus	None	NC_005084
Paramyxoviridae	Henipavirus	Cedar henipavirus	None	NC_025351
Paramyxoviridae	Henipavirus	Hendra henipavirus	None	NC_001906
Paramyxoviridae	Henipavirus	Mojiang henipavirus	None	NC_025352
Paramyxoviridae	Henipavirus	Nipah henipavirus	None	NC_002728
Paramyxoviridae	Morbillivirus	Canine morbillivirus	None	NC_001921
Paramyxoviridae	Morbillivirus	Cetacean morbillivirus	None	NC_005283
Paramyxoviridae	Morbillivirus	Feline morbillivirus	None	NC_039196
Paramyxoviridae	Morbillivirus	Measles morbillivirus	None	NC_001498
Paramyxoviridae	Morbillivirus	Phocine morbillivirus	None	NC_028249
Paramyxoviridae	Morbillivirus	Rinderpest morbillivirus	None	NC_006296
Paramyxoviridae	Morbillivirus	Small ruminant morbillivirus	None	NC_006383
Paramyxoviridae	Respirovirus	Bovine respirovirus 3	None	NC_028362,NC_002161
Paramyxoviridae	Respirovirus	Human respirovirus 1	None	NC_003461
Paramyxoviridae	Respirovirus	Human respirovirus 3	None	NC_038270,NC_001796
Paramyxoviridae	Respirovirus	Murine respirovirus	None	NC_001552
Paramyxoviridae	Respirovirus	Porcine respirovirus 1	None	NC_025402
Paramyxoviridae	Rubulavirus	Achimota rubulavirus 1	None	NC_025403
Paramyxoviridae	Rubulavirus	Achimota rubulavirus 2	None	NC_025404
Paramyxoviridae	Rubulavirus	Bat mumps rubulavirus	None	NC_038271
Paramyxoviridae	Rubulavirus	Human rubulavirus 2	None	NC_003443
Paramyxoviridae	Rubulavirus	Human rubulavirus 4	None	NC_021928
Paramyxoviridae	Rubulavirus	Mammalian rubulavirus 5	None	NC_006430
Paramyxoviridae	Rubulavirus	Mapuera rubulavirus	None	NC_009489
Paramyxoviridae	Rubulavirus	Menangle rubulavirus	None	NC_039197
Paramyxoviridae	Rubulavirus	Mumps rubulavirus	None	NC_002200
Paramyxoviridae	Rubulavirus	Porcine rubulavirus	None	NC_009640
Paramyxoviridae	Rubulavirus	Simian rubulavirus	None	NC_006428
Paramyxoviridae	Rubulavirus	Sosuga rubulavirus	None	NC_025343
Paramyxoviridae	Rubulavirus	Tioman rubulavirus	None	NC_004074
Paramyxoviridae	Rubulavirus	Tuhoko rubulavirus 1	None	NC_025410
Paramyxoviridae	Rubulavirus	Tuhoko rubulavirus 2	None	NC_025348
Paramyxoviridae	Rubulavirus	Tuhoko rubulavirus 3	None	NC_025350
Paramyxoviridae	unknown	Beilong virus	None	NC_007803
Paramyxoviridae	unknown	J-virus	None	NC_007454
Paramyxoviridae	unknown	Mossman virus	None	NC_005339
Paramyxoviridae	unknown	Nariva virus	None	NC_017937
Paramyxoviridae	unknown	Salem virus	None	NC_025386
Paramyxoviridae	unknown	Tailam virus	None	NC_025355
Paramyxoviridae	unknown	Tupaia paramyxovirus	None	NC_002199
Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	None	NC_001729,NC_001401,NC_001829,NC_002077,NC_006260,NC_006261
Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus B	None	NC_006152,NC_005889
Parvoviridae	Erythroparvovirus	Primate erythroparvovirus 1	None	NC_000883
Peribunyaviridae	Orthobunyavirus	Akabane orthobunyavirus	L	NC_009894
Peribunyaviridae	Orthobunyavirus	Akabane orthobunyavirus	M	NC_009895
Peribunyaviridae	Orthobunyavirus	Akabane orthobunyavirus	S	NC_009896
Peribunyaviridae	Orthobunyavirus	Alajuela orthobunyavirus	L	NC_038717
Peribunyaviridae	Orthobunyavirus	Alajuela orthobunyavirus	M	NC_038715
Peribunyaviridae	Orthobunyavirus	Alajuela orthobunyavirus	S	NC_038716
Peribunyaviridae	Orthobunyavirus	Anopheles A orthobunyavirus	L	NC_038720
Peribunyaviridae	Orthobunyavirus	Anopheles A orthobunyavirus	M	NC_038718
Peribunyaviridae	Orthobunyavirus	Anopheles A orthobunyavirus	S	NC_038719
Peribunyaviridae	Orthobunyavirus	Anopheles B orthobunyavirus	S	NC_038721
Peribunyaviridae	Orthobunyavirus	Batama orthobunyavirus	S	NC_038722
Peribunyaviridae	Orthobunyavirus	Bimiti orthobunyavirus	L	NC_038724
Peribunyaviridae	Orthobunyavirus	Bimiti orthobunyavirus	M	NC_038723
Peribunyaviridae	Orthobunyavirus	Bimiti orthobunyavirus	S	NC_038725
Peribunyaviridae	Orthobunyavirus	Brazoran virus	L	NC_022039
Peribunyaviridae	Orthobunyavirus	Brazoran virus	M	NC_022038
Peribunyaviridae	Orthobunyavirus	Brazoran virus	S	NC_022037
Peribunyaviridae	Orthobunyavirus	Bunyamwera orthobunyavirus	L	NC_001925
Peribunyaviridae	Orthobunyavirus	Bunyamwera orthobunyavirus	M	NC_001926
Peribunyaviridae	Orthobunyavirus	Bunyamwera orthobunyavirus	S	NC_001927
Peribunyaviridae	Orthobunyavirus	Bwamba orthobunyavirus	L	NC_034479
Peribunyaviridae	Orthobunyavirus	Bwamba orthobunyavirus	M	NC_034490
Peribunyaviridae	Orthobunyavirus	Bwamba orthobunyavirus	S	NC_034480
Peribunyaviridae	Orthobunyavirus	California encephalitis orthobunyavirus	L	NC_004108
Peribunyaviridae	Orthobunyavirus	California encephalitis orthobunyavirus	M	NC_004109
Peribunyaviridae	Orthobunyavirus	California encephalitis orthobunyavirus	S	NC_004110
Peribunyaviridae	Orthobunyavirus	Capim orthobunyavirus	L	NC_034482
Peribunyaviridae	Orthobunyavirus	Capim orthobunyavirus	M	NC_034493
Peribunyaviridae	Orthobunyavirus	Capim orthobunyavirus	S	NC_034483
Peribunyaviridae	Orthobunyavirus	Caraparu orthobunyavirus	L	NC_034489
Peribunyaviridae	Orthobunyavirus	Caraparu orthobunyavirus	M	NC_034477
Peribunyaviridae	Orthobunyavirus	Caraparu orthobunyavirus	S	NC_034478
Peribunyaviridae	Orthobunyavirus	Catu orthobunyavirus	L	NC_038728
Peribunyaviridae	Orthobunyavirus	Catu orthobunyavirus	M	NC_038727
Peribunyaviridae	Orthobunyavirus	Catu orthobunyavirus	S	NC_038726
Peribunyaviridae	Orthobunyavirus	Gamboa orthobunyavirus	L	NC_038729
Peribunyaviridae	Orthobunyavirus	Gamboa orthobunyavirus	M	NC_038730
Peribunyaviridae	Orthobunyavirus	Gamboa orthobunyavirus	S	NC_038731
Peribunyaviridae	Orthobunyavirus	Guajara orthobunyavirus	L	NC_038734
Peribunyaviridae	Orthobunyavirus	Guajara orthobunyavirus	M	NC_038733
Peribunyaviridae	Orthobunyavirus	Guajara orthobunyavirus	S	NC_038732
Peribunyaviridae	Orthobunyavirus	Guama orthobunyavirus	L	NC_038736
Peribunyaviridae	Orthobunyavirus	Guama orthobunyavirus	M	NC_038735
Peribunyaviridae	Orthobunyavirus	Guama orthobunyavirus	S	NC_038737
Peribunyaviridae	Orthobunyavirus	Guaroa orthobunyavirus	L	NC_034487
Peribunyaviridae	Orthobunyavirus	Guaroa orthobunyavirus	M	NC_034506
Peribunyaviridae	Orthobunyavirus	Guaroa orthobunyavirus	S	NC_034486
Peribunyaviridae	Orthobunyavirus	Kaeng Khoi orthobunyavirus	L	NC_034499
Peribunyaviridae	Orthobunyavirus	Kaeng Khoi orthobunyavirus	M	NC_034500
Peribunyaviridae	Orthobunyavirus	Kaeng Khoi orthobunyavirus	S	NC_034501
Peribunyaviridae	Orthobunyavirus	Kairi orthobunyavirus	L	NC_038738
Peribunyaviridae	Orthobunyavirus	Kairi orthobunyavirus	M	NC_038739
Peribunyaviridae	Orthobunyavirus	Kairi orthobunyavirus	S	NC_038740
Peribunyaviridae	Orthobunyavirus	Koongol orthobunyavirus	L	NC_038741
Peribunyaviridae	Orthobunyavirus	Koongol orthobunyavirus	M	NC_038742
Peribunyaviridae	Orthobunyavirus	Koongol orthobunyavirus	S	NC_038743
Peribunyaviridae	Orthobunyavirus	Madrid orthobunyavirus	L	NC_034497
Peribunyaviridae	Orthobunyavirus	Madrid orthobunyavirus	M	NC_034505
Peribunyaviridae	Orthobunyavirus	Madrid orthobunyavirus	S	NC_034498
Peribunyaviridae	Orthobunyavirus	Main Drain orthobunyavirus	L	NC_038943
Peribunyaviridae	Orthobunyavirus	Main Drain orthobunyavirus	M	NC_038942
Peribunyaviridae	Orthobunyavirus	Main Drain orthobunyavirus	S	NC_038941
Peribunyaviridae	Orthobunyavirus	Manzanilla orthobunyavirus	L	NC_024076
Peribunyaviridae	Orthobunyavirus	Manzanilla orthobunyavirus	M	NC_024074
Peribunyaviridae	Orthobunyavirus	Manzanilla orthobunyavirus	S	NC_024075
Peribunyaviridae	Orthobunyavirus	Marituba orthobunyavirus	L	NC_034495
Peribunyaviridae	Orthobunyavirus	Marituba orthobunyavirus	M	NC_034504
Peribunyaviridae	Orthobunyavirus	Marituba orthobunyavirus	S	NC_034496
Peribunyaviridae	Orthobunyavirus	Nyando orthobunyavirus	L	NC_034492
Peribunyaviridae	Orthobunyavirus	Nyando orthobunyavirus	M	NC_034491
Peribunyaviridae	Orthobunyavirus	Nyando orthobunyavirus	S	NC_034481
Peribunyaviridae	Orthobunyavirus	Oriboca orthobunyavirus	L	NC_034475
Peribunyaviridae	Orthobunyavirus	Oriboca orthobunyavirus	M	NC_034488
Peribunyaviridae	Orthobunyavirus	Oriboca orthobunyavirus	S	NC_034476
Peribunyaviridae	Orthobunyavirus	Oropouche orthobunyavirus	L	NC_005776
Peribunyaviridae	Orthobunyavirus	Oropouche orthobunyavirus	M	NC_005775
Peribunyaviridae	Orthobunyavirus	Oropouche orthobunyavirus	S	NC_005777
Peribunyaviridae	Orthobunyavirus	Patois orthobunyavirus	L	MH017277
Peribunyaviridae	Orthobunyavirus	Patois orthobunyavirus	M	MH017283
Peribunyaviridae	Orthobunyavirus	Patois orthobunyavirus	S	MH017273
Peribunyaviridae	Orthobunyavirus	Sathuperi orthobunyavirus	L	NC_018461
Peribunyaviridae	Orthobunyavirus	Sathuperi orthobunyavirus	M	NC_018466
Peribunyaviridae	Orthobunyavirus	Sathuperi orthobunyavirus	S	NC_018462
Peribunyaviridae	Orthobunyavirus	Shamonda orthobunyavirus	L	NC_018463
Peribunyaviridae	Orthobunyavirus	Shamonda orthobunyavirus	M	NC_018467
Peribunyaviridae	Orthobunyavirus	Shamonda orthobunyavirus	S	NC_018464
Peribunyaviridae	Orthobunyavirus	Shuni orthobunyavirus	L	NC_018465
Peribunyaviridae	Orthobunyavirus	Shuni orthobunyavirus	M	NC_018459
Peribunyaviridae	Orthobunyavirus	Shuni orthobunyavirus	S	NC_018460
Peribunyaviridae	Orthobunyavirus	Simbu orthobunyavirus	L	NC_018476
Peribunyaviridae	Orthobunyavirus	Simbu orthobunyavirus	M	NC_018478
Peribunyaviridae	Orthobunyavirus	Simbu orthobunyavirus	S	NC_018477
Peribunyaviridae	Orthobunyavirus	Tacaiuma orthobunyavirus	L	MF497779
Peribunyaviridae	Orthobunyavirus	Tacaiuma orthobunyavirus	M	MF497777
Peribunyaviridae	Orthobunyavirus	Tacaiuma orthobunyavirus	S	MF497771
Peribunyaviridae	Orthobunyavirus	Tete orthobunyavirus	L	NC_039184
Peribunyaviridae	Orthobunyavirus	Tete orthobunyavirus	M	NC_039183
Peribunyaviridae	Orthobunyavirus	Tete orthobunyavirus	S	NC_039185
Peribunyaviridae	Orthobunyavirus	Wyeomyia orthobunyavirus	L	NC_039186
Peribunyaviridae	Orthobunyavirus	Wyeomyia orthobunyavirus	M	NC_039187
Peribunyaviridae	Orthobunyavirus	Wyeomyia orthobunyavirus	S	NC_039188
Phenuiviridae	Phlebovirus	Aguacate virus	L	NC_015451
Phenuiviridae	Phlebovirus	Aguacate virus	M	NC_015450
Phenuiviridae	Phlebovirus	Aguacate virus	S	NC_015452
Phenuiviridae	Phlebovirus	Ambe virus	L	NC_033844
Phenuiviridae	Phlebovirus	Ambe virus	M	NC_033835
Phenuiviridae	Phlebovirus	Ambe virus	S	NC_033845
Phenuiviridae	Phlebovirus	Anhanga virus	L	NC_033836
Phenuiviridae	Phlebovirus	Anhanga virus	M	NC_033846
Phenuiviridae	Phlebovirus	Anhanga virus	S	NC_033837
Phenuiviridae	Phlebovirus	Arrabida virus	L	NC_029082
Phenuiviridae	Phlebovirus	Arrabida virus	M	NC_037616
Phenuiviridae	Phlebovirus	Arrabida virus	S	NC_037617
Phenuiviridae	Phlebovirus	Arumowot virus	L	NC_023635
Phenuiviridae	Phlebovirus	Arumowot virus	M	NC_023633
Phenuiviridae	Phlebovirus	Arumowot virus	S	NC_023634
Phenuiviridae	Phlebovirus	Bhanja virus	L	NC_027140
Phenuiviridae	Phlebovirus	Bhanja virus	M	NC_027141
Phenuiviridae	Phlebovirus	Bhanja virus	S	NC_027142
Phenuiviridae	Phlebovirus	Bujaru phlebovirus	L	NC_033830
Phenuiviridae	Phlebovirus	Bujaru phlebovirus	M	NC_033847
Phenuiviridae	Phlebovirus	Bujaru phlebovirus	S	NC_033831
Phenuiviridae	Phlebovirus	Candiru phlebovirus	L	NC_015374
Phenuiviridae	Phlebovirus	Candiru phlebovirus	M	NC_015373
Phenuiviridae	Phlebovirus	Candiru phlebovirus	S	NC_015375
Phenuiviridae	Phlebovirus	Heartland virus	L	NC_024495
Phenuiviridae	Phlebovirus	Heartland virus	M	NC_024494
Phenuiviridae	Phlebovirus	Heartland virus	S	NC_024496
Phenuiviridae	Phlebovirus	Kabuto mountain virus	L	NC_036604
Phenuiviridae	Phlebovirus	Kabuto mountain virus	M	NC_036605
Phenuiviridae	Phlebovirus	Kabuto mountain virus	S	NC_036606
Phenuiviridae	Phlebovirus	Punta Toro phlebovirus	L	NC_039192
Phenuiviridae	Phlebovirus	Punta Toro phlebovirus	M	NC_039191
Phenuiviridae	Phlebovirus	Punta Toro phlebovirus	S	NC_039193
Phenuiviridae	Phlebovirus	Razdan virus	L	NC_022630
Phenuiviridae	Phlebovirus	Razdan virus	M	NC_022631
Phenuiviridae	Phlebovirus	Razdan virus	S	NC_022632
Phenuiviridae	Phlebovirus	Rift Valley fever phlebovirus	L	NC_014397
Phenuiviridae	Phlebovirus	Rift Valley fever phlebovirus	M	NC_014396
Phenuiviridae	Phlebovirus	Rift Valley fever phlebovirus	S	NC_014395
Phenuiviridae	Phlebovirus	SFTS phlebovirus	L	NC_018136
Phenuiviridae	Phlebovirus	SFTS phlebovirus	M	NC_018138
Phenuiviridae	Phlebovirus	SFTS phlebovirus	S	NC_018137
Phenuiviridae	Phlebovirus	Salehabad phlebovirus	L	NC_029127
Phenuiviridae	Phlebovirus	Salehabad phlebovirus	M	NC_029128
Phenuiviridae	Phlebovirus	Salehabad phlebovirus	S	NC_029129
Phenuiviridae	Phlebovirus	Sandfly fever Naples phlebovirus	L	NC_006319
Phenuiviridae	Phlebovirus	Sandfly fever Naples phlebovirus	M	NC_006320
Phenuiviridae	Phlebovirus	Sandfly fever Naples phlebovirus	S	NC_006318
Phenuiviridae	Phlebovirus	Sandfly fever Sicilian virus	L	NC_015412
Phenuiviridae	Phlebovirus	Sandfly fever Sicilian virus	M	NC_015411
Phenuiviridae	Phlebovirus	Sandfly fever Sicilian virus	S	NC_015413
Phenuiviridae	Phlebovirus	Tapara virus	L	NC_033848
Phenuiviridae	Phlebovirus	Tapara virus	M	NC_033838
Phenuiviridae	Phlebovirus	Tapara virus	S	NC_033839
Phenuiviridae	Phlebovirus	Toros virus	L	NC_029903
Phenuiviridae	Phlebovirus	Toros virus	M	NC_037614
Phenuiviridae	Phlebovirus	Toros virus	S	NC_037615
Phenuiviridae	Phlebovirus	Uriurana virus	L	NC_033849
Phenuiviridae	Phlebovirus	Uriurana virus	M	NC_033840
Phenuiviridae	Phlebovirus	Uriurana virus	S	NC_033850
Phenuiviridae	Phlebovirus	Urucuri virus	L	NC_033841
