family	genus	species	taxid	segment	refseqs
Anelloviridae	Deltatorquevirus	Torque teno tupaia virus	687381	None	NC_038348
Anelloviridae	Epsilontorquevirus	Torque teno tamarin virus	687382	None	NC_014085
Anelloviridae	Etatorquevirus	Torque teno felis virus	687384	None	NC_014072
Anelloviridae	Etatorquevirus	Torque teno felis virus 2	2065043	None	NC_038349
Anelloviridae	Gammatorquevirus	Torque teno midi virus 1	687379	None	NC_009225
Anelloviridae	Gammatorquevirus	Torque teno midi virus 10	2065051	None	NC_038357
Anelloviridae	Gammatorquevirus	Torque teno midi virus 11	2065052	None	NC_038358
Anelloviridae	Gammatorquevirus	Torque teno midi virus 12	2065053	None	NC_038359
Anelloviridae	Gammatorquevirus	Torque teno midi virus 13	2065054	None	NC_038360
Anelloviridae	Gammatorquevirus	Torque teno midi virus 14	2065055	None	NC_038361
Anelloviridae	Gammatorquevirus	Torque teno midi virus 15	2065056	None	NC_038362
Anelloviridae	Gammatorquevirus	Torque teno midi virus 2	687380	None	NC_014093
Anelloviridae	Gammatorquevirus	Torque teno midi virus 3	2065044	None	NC_038350
Anelloviridae	Gammatorquevirus	Torque teno midi virus 4	2065045	None	NC_038351
Anelloviridae	Gammatorquevirus	Torque teno midi virus 5	2065046	None	NC_038352
Anelloviridae	Gammatorquevirus	Torque teno midi virus 6	2065047	None	NC_038353
Anelloviridae	Gammatorquevirus	Torque teno midi virus 7	2065048	None	NC_038354
Anelloviridae	Gammatorquevirus	Torque teno midi virus 8	2065049	None	NC_038355
Anelloviridae	Gammatorquevirus	Torque teno midi virus 9	2065050	None	NC_038356
Anelloviridae	Gyrovirus	Avian gyrovirus 2	1002273	None	NC_015396
Anelloviridae	Gyrovirus	Chicken anemia virus	12618	None	NC_001427
Anelloviridae	Gyrovirus	Gyrovirus 4	1214955	None	NC_018401
Anelloviridae	Gyrovirus	Gyrovirus GyV3	1163715	None	NC_017091
Anelloviridae	Gyrovirus	Gyrovirus GyV7-SF	1548711	None	NC_025215
Anelloviridae	Gyrovirus	Gyrovirus Tu243	1415627	None	NC_022788
Anelloviridae	Gyrovirus	Gyrovirus Tu789	1415628	None	NC_022789
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1a	687386	None	NC_014070
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1b	687387	None	NC_027059
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2a	1968861	None	NC_014092
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2b	1239832	None	NC_038363
Anelloviridae	Lambdatorquevirus	Torque teno zalophus virus 1	1218490	None	NC_012126
Anelloviridae	Thetatorquevirus	Torque teno canis virus	687385	None	NC_014071
Anelloviridae	Zetatorquevirus	Torque teno douroucouli virus	687383	None	NC_014087
Anelloviridae	unclassified	Giant panda anellovirus	2016460	None	NC_035192
Anelloviridae	unknown	Gorilla anellovirus	1743411	None	NC_030650
Anelloviridae	unknown	Rodent Torque teno virus 2	1514665	None	NC_025966
Anelloviridae	unknown	Seal anellovirus 2	1427157	None	NC_024891
Anelloviridae	unknown	Seal anellovirus 3	1427156	None	NC_024890
Anelloviridae	unknown	Seal anellovirus TFFN/USA/2006	991022	None	NC_015212
Anelloviridae	unknown	Small anellovirus	393049	None	NC_007013,NC_007014
Anelloviridae	unknown	Torque teno Leptonychotes weddellii virus-1	2012676	None	NC_035136
Anelloviridae	unknown	Torque teno Leptonychotes weddellii virus-2	2012677	None	NC_035135
Anelloviridae	unknown	Torque teno indri virus 1	2010248	None	NC_034978
Anelloviridae	unknown	Torque teno virus	68887	None	NC_015783
Arenaviridae	Arenavirus	Mopeia Lassa virus reassortant 29	300180	L	NC_006572
Arenaviridae	Arenavirus	Mopeia Lassa virus reassortant 29	300180	S	NC_006573
Arenaviridae	Mammarenavirus	Allpahuayo mammarenavirus	144752	L	NC_010249
Arenaviridae	Mammarenavirus	Allpahuayo mammarenavirus	144752	S	NC_010253
Arenaviridae	Mammarenavirus	Argentinian mammarenavirus	2169991	L	NC_005080
Arenaviridae	Mammarenavirus	Argentinian mammarenavirus	2169991	S	NC_005081
Arenaviridae	Mammarenavirus	Bear Canyon mammarenavirus	192848	L	NC_010255
Arenaviridae	Mammarenavirus	Bear Canyon mammarenavirus	192848	S	NC_010256
Arenaviridae	Mammarenavirus	Brazilian mammarenavirus	2169992	L	NC_006313
Arenaviridae	Mammarenavirus	Brazilian mammarenavirus	2169992	S	NC_006317
Arenaviridae	Mammarenavirus	Cali mammarenavirus	2169993	L	NC_006439
Arenaviridae	Mammarenavirus	Cali mammarenavirus	2169993	S	NC_006447
Arenaviridae	Mammarenavirus	Chapare mammarenavirus	499556	L	NC_010563
Arenaviridae	Mammarenavirus	Chapare mammarenavirus	499556	S	NC_010562
Arenaviridae	Mammarenavirus	Cupixi mammarenavirus	208899	L	NC_010252
Arenaviridae	Mammarenavirus	Cupixi mammarenavirus	208899	S	NC_010254
Arenaviridae	Mammarenavirus	Flexal mammarenavirus	45220	L	NC_010759
Arenaviridae	Mammarenavirus	Flexal mammarenavirus	45220	S	NC_010757
Arenaviridae	Mammarenavirus	Gairo mammarenavirus	1535802	L	NC_026247
Arenaviridae	Mammarenavirus	Gairo mammarenavirus	1535802	S	NC_026246
Arenaviridae	Mammarenavirus	Guanarito mammarenavirus	45219	L	NC_005082
Arenaviridae	Mammarenavirus	Guanarito mammarenavirus	45219	S	NC_005077
Arenaviridae	Mammarenavirus	Ippy mammarenavirus	55096	L	NC_007906
Arenaviridae	Mammarenavirus	Ippy mammarenavirus	55096	S	NC_007905
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	11620	L	NC_004297
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	11620	S	NC_004296,KM821998,GU481072,KM821773
Arenaviridae	Mammarenavirus	Latino mammarenavirus	45221	L	NC_010760
Arenaviridae	Mammarenavirus	Latino mammarenavirus	45221	S	NC_010758
Arenaviridae	Mammarenavirus	Loei River mammarenavirus	1437126	L	NC_038365
Arenaviridae	Mammarenavirus	Loei River mammarenavirus	1437126	S	NC_038364
Arenaviridae	Mammarenavirus	Lujo mammarenavirus	649188	L	NC_012777
Arenaviridae	Mammarenavirus	Lujo mammarenavirus	649188	S	NC_012776
Arenaviridae	Mammarenavirus	Luna mammarenavirus	883876	L	NC_016153
Arenaviridae	Mammarenavirus	Luna mammarenavirus	883876	S	NC_016152
Arenaviridae	Mammarenavirus	Lunk mammarenavirus	1912901	L	NC_018711
Arenaviridae	Mammarenavirus	Lunk mammarenavirus	1912901	S	NC_018710
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	11623	L	NC_004291
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	11623	S	NC_004294
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	11628	L	NC_005079
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	11628	S	NC_005078
Arenaviridae	Mammarenavirus	Mobala mammarenavirus	55097	L	NC_007904
Arenaviridae	Mammarenavirus	Mobala mammarenavirus	55097	S	NC_007903
Arenaviridae	Mammarenavirus	Mopeia mammarenavirus	11629	L	NC_006574
Arenaviridae	Mammarenavirus	Mopeia mammarenavirus	11629	S	NC_006575
Arenaviridae	Mammarenavirus	Morogoro mammarenavirus	573900	L	NC_013058
Arenaviridae	Mammarenavirus	Morogoro mammarenavirus	573900	S	NC_013057
Arenaviridae	Mammarenavirus	Oliveros mammarenavirus	42764	L	NC_010250
Arenaviridae	Mammarenavirus	Oliveros mammarenavirus	42764	S	NC_010248
Arenaviridae	Mammarenavirus	Paraguayan mammarenavirus	2169994	L	NC_010761
Arenaviridae	Mammarenavirus	Paraguayan mammarenavirus	2169994	S	NC_010756
Arenaviridae	Mammarenavirus	Pirital mammarenavirus	49891	L	NC_005897
Arenaviridae	Mammarenavirus	Pirital mammarenavirus	49891	S	NC_005894
Arenaviridae	Mammarenavirus	Ryukyu mammarenavirus	2169995	L	NC_039010
Arenaviridae	Mammarenavirus	Ryukyu mammarenavirus	2169995	S	NC_039009
Arenaviridae	Mammarenavirus	Serra do Navio mammarenavirus	2169996	L	NC_010251
Arenaviridae	Mammarenavirus	Serra do Navio mammarenavirus	2169996	S	NC_010247
Arenaviridae	Mammarenavirus	Solwezi mammarenavirus	2030986	L	NC_038366
Arenaviridae	Mammarenavirus	Solwezi mammarenavirus	2030986	S	NC_038367
Arenaviridae	Mammarenavirus	Souris mammarenavirus	2169997	L	NC_039011
Arenaviridae	Mammarenavirus	Souris mammarenavirus	2169997	S	NC_039012
Arenaviridae	Mammarenavirus	Tacaribe mammarenavirus	11631	L	NC_004292
Arenaviridae	Mammarenavirus	Tacaribe mammarenavirus	11631	S	NC_004293
Arenaviridae	Mammarenavirus	Tamiami mammarenavirus	45223	L	NC_010702
Arenaviridae	Mammarenavirus	Tamiami mammarenavirus	45223	S	NC_010701
Arenaviridae	Mammarenavirus	Whitewater Arroyo mammarenavirus	46919	L	NC_010703
Arenaviridae	Mammarenavirus	Whitewater Arroyo mammarenavirus	46919	S	NC_010700
Arenaviridae	Reptarenavirus	California reptarenavirus	2170175	L	NC_018484
Arenaviridae	Reptarenavirus	California reptarenavirus	2170175	S	NC_018481
Arenaviridae	Reptarenavirus	Giessen reptarenavirus	2170176	L	NC_039006
Arenaviridae	Reptarenavirus	Giessen reptarenavirus	2170176	S	NC_039005
Arenaviridae	Reptarenavirus	Golden reptarenavirus	2170177	L	NC_018482
Arenaviridae	Reptarenavirus	Golden reptarenavirus	2170177	S	NC_018483
Arenaviridae	Reptarenavirus	Ordinary reptarenavirus	2170178	L	NC_039008
Arenaviridae	Reptarenavirus	Ordinary reptarenavirus	2170178	S	NC_039007
Astroviridae	Mamastrovirus	Mamastrovirus 1	1239565	None	NC_001943,NC_030922
Astroviridae	Mamastrovirus	Mamastrovirus 6	1239570	None	NC_011400
Astroviridae	Mamastrovirus	Mamastrovirus 8	1239572	None	GQ415660
Astroviridae	Mamastrovirus	Mamastrovirus 9	1239573	None	NC_013060
Caliciviridae	Norovirus	Norwalk virus	11983	None	NC_029645,NC_029646,NC_029647,NC_001959,NC_008311
Caliciviridae	Sapovirus	Bat sapovirus TLC58/HK	1185359	None	NC_017936
Caliciviridae	Sapovirus	Sapporo virus	95342	None	NC_010624,NC_006269,NC_006554,NC_027026,NC_000940
Caliciviridae	Vesivirus	Vesicular exanthema of swine virus	35612	None	NC_002551,NC_004541,NC_029645,NC_029646,NC_029647,NC_001959,NC_008311
Circoviridae	Circovirus	Human associated circovirus 1	1959761	None	NC_038392
Circoviridae	Cyclovirus	Human associated cyclovirus 1	2038719	None	NC_038412
Circoviridae	Cyclovirus	Human associated cyclovirus 10	2038728	None	NC_023874
Circoviridae	Cyclovirus	Human associated cyclovirus 11	1987745	None	NC_038418
Circoviridae	Cyclovirus	Human associated cyclovirus 12	2169855	None	NC_032682
Circoviridae	Cyclovirus	Human associated cyclovirus 2	2038720	None	NC_036877
Circoviridae	Cyclovirus	Human associated cyclovirus 3	2038721	None	NC_038413
Circoviridae	Cyclovirus	Human associated cyclovirus 4	2038722	None	NC_038414
Circoviridae	Cyclovirus	Human associated cyclovirus 5	2038723	None	NC_038415
Circoviridae	Cyclovirus	Human associated cyclovirus 6	2038724	None	NC_038416
Circoviridae	Cyclovirus	Human associated cyclovirus 7	2038725	None	NC_038417
Circoviridae	Cyclovirus	Human associated cyclovirus 8	2038726	None	NC_039215
Circoviridae	Cyclovirus	Human associated cyclovirus 9	2038727	None	NC_021568
Circoviridae	unknown	Human fecal virus Jorvi2	2017081	None	NC_035212
Circoviridae	unknown	Human fecal virus Jorvi3	2017082	None	NC_035213
Circoviridae	unknown	Human fecal virus Jorvi4	2017083	None	NC_035211
Coronaviridae	Alphacoronavirus	Human coronavirus 229E	11137	None	NC_002645,NC_028752
Coronaviridae	Alphacoronavirus	Human coronavirus NL63	277944	None	NC_005831
Coronaviridae	Betacoronavirus	Human coronavirus HKU1	290028	None	NC_006577
Coronaviridae	Betacoronavirus	Middle East respiratory syndrome-related coronavirus	1335626	None	NC_038294,NC_019843
Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	694009	None	NC_004718
Filoviridae	Cuevavirus	Lloviu cuevavirus	1513237	None	NC_016144
Filoviridae	Ebolavirus	Bundibugyo ebolavirus	565995	None	NC_014373
Filoviridae	Ebolavirus	Reston ebolavirus	186539	None	NC_004161
Filoviridae	Ebolavirus	Sudan ebolavirus	186540	None	NC_006432
Filoviridae	Ebolavirus	Tai Forest ebolavirus	186541	None	NC_014372
Filoviridae	Ebolavirus	Zaire ebolavirus	186538	None	NC_002549
Filoviridae	Marburgvirus	Marburg marburgvirus	11269	None	NC_001608,NC_024781
Flaviviridae	Flavivirus	Aedes flavivirus	390845	None	NC_012932
Flaviviridae	Flavivirus	Apoi virus	64280	None	NC_003676
Flaviviridae	Flavivirus	Aroa virus	64303	None	NC_009026
Flaviviridae	Flavivirus	Bagaza virus	64290	None	NC_012534
Flaviviridae	Flavivirus	Banzi virus	38837	None	DQ859056
Flaviviridae	Flavivirus	Bouboui virus	64295	None	NC_033693
Flaviviridae	Flavivirus	Cacipacore virus	64305	None	NC_026623
Flaviviridae	Flavivirus	Cell fusing agent virus	31658	None	NC_001564
Flaviviridae	Flavivirus	Chaoyang virus	631267	None	NC_017086
Flaviviridae	Flavivirus	Culex flavivirus	390844	None	NC_008604
Flaviviridae	Flavivirus	Dengue virus	12637	None	NC_001477,NC_002640,NC_001475,NC_001474
Flaviviridae	Flavivirus	Donggang virus	985683	None	NC_016997
Flaviviridae	Flavivirus	Edge Hill virus	64296	None	NC_030289
Flaviviridae	Flavivirus	Entebbe bat virus	64283	None	NC_008718
Flaviviridae	Flavivirus	Gadgets Gully virus	64307	None	NC_033723
Flaviviridae	Flavivirus	Hanko virus	1125677	None	NC_030401
Flaviviridae	Flavivirus	Ilheus virus	59563	None	NC_009028
Flaviviridae	Flavivirus	Japanese encephalitis virus	11072	None	NC_001437
Flaviviridae	Flavivirus	Jugra virus	64309	None	NC_033699
Flaviviridae	Flavivirus	Kadam virus	64310	None	NC_033724
Flaviviridae	Flavivirus	Kamiti River virus	218849	None	NC_005064
Flaviviridae	Flavivirus	Kedougou virus	64311	None	NC_012533
Flaviviridae	Flavivirus	Kokobera virus	44024	None	NC_032088,NC_009029
Flaviviridae	Flavivirus	Kyasanur Forest disease virus	33743	None	NC_039218
Flaviviridae	Flavivirus	Langat virus	11085	None	NC_003690
Flaviviridae	Flavivirus	Louping ill virus	11086	None	NC_001809
Flaviviridae	Flavivirus	Meaban virus	35279	None	NC_033721
Flaviviridae	Flavivirus	Mercadeo virus	1708574	None	NC_027819
Flaviviridae	Flavivirus	Modoc virus	64300	None	NC_003635
Flaviviridae	Flavivirus	Montana myotis leukoencephalitis virus	64312	None	NC_004119
Flaviviridae	Flavivirus	Murray Valley encephalitis virus	11079	None	NC_000943
Flaviviridae	Flavivirus	Nounane virus	486494	None	NC_033715
Flaviviridae	Flavivirus	Ntaya virus	64292	None	NC_018705
Flaviviridae	Flavivirus	Ochlerotatus caspius flavivirus	1244565	None	NC_034242
Flaviviridae	Flavivirus	Omsk hemorrhagic fever virus	12542	None	NC_005062
Flaviviridae	Flavivirus	Palm Creek virus	1302179	None	NC_033694
Flaviviridae	Flavivirus	Paraiso Escondido virus	1566298	None	NC_027999
Flaviviridae	Flavivirus	Parramatta River virus	1708654	None	NC_027817
Flaviviridae	Flavivirus	Phnom Penh bat virus	64894	None	NC_034007
Flaviviridae	Flavivirus	Powassan virus	11083	None	NC_003687
Flaviviridae	Flavivirus	Quang Binh virus	643132	None	NC_012671,NC_021069
Flaviviridae	Flavivirus	Rio Bravo virus	64285	None	NC_003675
Flaviviridae	Flavivirus	Royal Farm virus	64288	None	NC_039219
Flaviviridae	Flavivirus	Saboya virus	64284	None	NC_033697,NC_029054
Flaviviridae	Flavivirus	Saint Louis encephalitis virus	11080	None	NC_007580
Flaviviridae	Flavivirus	Saumarez Reef virus	40012	None	NC_033726
Flaviviridae	Flavivirus	Sepik virus	44026	None	NC_008719
Flaviviridae	Flavivirus	Spanish goat encephalitis virus	1691889	None	NC_027709
Flaviviridae	Flavivirus	Spondweni virus	64318	None	NC_029055
Flaviviridae	Flavivirus	T'Ho virus	577122	None	NC_034151
Flaviviridae	Flavivirus	Tamana bat virus	161675	None	NC_003996
Flaviviridae	Flavivirus	Tembusu virus	64293	None	NC_015843
Flaviviridae	Flavivirus	Tick-borne encephalitis virus	11084	None	NC_001672
Flaviviridae	Flavivirus	Uganda S virus	64297	None	NC_033698
Flaviviridae	Flavivirus	Usutu virus	64286	None	NC_006551
Flaviviridae	Flavivirus	Wesselsbron virus	164416	None	NC_012735
Flaviviridae	Flavivirus	West Nile virus	11082	None	NC_001563,NC_009942
Flaviviridae	Flavivirus	Yaounde virus	64319	None	NC_034018
Flaviviridae	Flavivirus	Yellow fever virus	11089	None	NC_002031
Flaviviridae	Flavivirus	Yokose virus	64294	None	NC_005039
Flaviviridae	Flavivirus	Zika virus	64320	None	NC_012532,NC_035889
Flaviviridae	Hepacivirus	Bat hepacivirus	1325446	None	NC_031947
Flaviviridae	Hepacivirus	Bovine hepacivirus	1633878	None	NC_026797
Flaviviridae	Hepacivirus	Hepacivirus A	2008761	None	NC_038425
Flaviviridae	Hepacivirus	Hepacivirus B	2008762	None	NC_038426
Flaviviridae	Hepacivirus	Hepacivirus C	11103	None	NC_004102,NC_030791,NC_009827,NC_009826,NC_009825,NC_038882,NC_009824,NC_009823
Flaviviridae	Hepacivirus	Hepacivirus D	2008763	None	NC_031950
Flaviviridae	Hepacivirus	Hepacivirus F	2008765	None	NC_038427
Flaviviridae	Hepacivirus	Hepacivirus I	2008768	None	NC_038428
Flaviviridae	Hepacivirus	Hepacivirus J	2008769	None	NC_038429
Flaviviridae	Hepacivirus	Hepacivirus K	2008770	None	NC_038430
Flaviviridae	Hepacivirus	Hepacivirus L	2008771	None	NC_031916
Flaviviridae	Hepacivirus	Hepacivirus M	2008772	None	NC_038431
Flaviviridae	Hepacivirus	Hepacivirus N	2008773	None	NC_038432
Flaviviridae	Hepacivirus	Norway rat hepacivirus 1	1562038	None	NC_025672
Flaviviridae	Hepacivirus	Norway rat hepacivirus 2	1562039	None	NC_025673
Flaviviridae	Hepacivirus	Rodent hepacivirus	1281454	None	NC_021153
Flaviviridae	Pegivirus	Pegivirus A	1307800	None	NC_024377,NC_001837
Flaviviridae	Pegivirus	Pegivirus C	1985356	None	NC_001710
Flaviviridae	Pegivirus	Pegivirus H	1985361	None	NC_027998,NC_038436
Genomoviridae	Gemycircularvirus	Gemycircularvirus HV-GcV1	1862824	None	NC_030447
Genomoviridae	Gemygorvirus	Sewage derived gemygorvirus 1	1985428	None	NC_026817,NC_026161
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 1	2004487	None	NC_024691
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 2	2004957	None	NC_026818
Genomoviridae	Gemykibivirus	Human associated gemykibivirus 5	2004962	None	NC_030448
Genomoviridae	Gemyvongvirus	Human associated gemyvongvirus 1	1985415	None	NC_028459
Hantaviridae	Orthohantavirus	Andes orthohantavirus	1980456	L	NC_003468
Hantaviridae	Orthohantavirus	Andes orthohantavirus	1980456	M	NC_003467
Hantaviridae	Orthohantavirus	Andes orthohantavirus	1980456	S	NC_003466
Hantaviridae	Orthohantavirus	Asama orthohantavirus	1980457	M	NC_038274
Hantaviridae	Orthohantavirus	Asama orthohantavirus	1980457	S	NC_038273
Hantaviridae	Orthohantavirus	Bayou orthohantavirus	1980459	L	NC_038299
Hantaviridae	Orthohantavirus	Bayou orthohantavirus	1980459	M	NC_038300
Hantaviridae	Orthohantavirus	Bayou orthohantavirus	1980459	S	NC_038298
Hantaviridae	Orthohantavirus	Black creek canal orthohantavirus	1980460	L	GU997097
Hantaviridae	Orthohantavirus	Black creek canal orthohantavirus	1980460	M	L39950
Hantaviridae	Orthohantavirus	Black creek canal orthohantavirus	1980460	S	L39949
Hantaviridae	Orthohantavirus	Bowe orthohantavirus	1980461	L	NC_034407
Hantaviridae	Orthohantavirus	Bowe orthohantavirus	1980461	M	NC_034406
Hantaviridae	Orthohantavirus	Bowe orthohantavirus	1980461	S	NC_034405
Hantaviridae	Orthohantavirus	Bruges orthohantavirus	1980462	L	NC_034402
Hantaviridae	Orthohantavirus	Bruges orthohantavirus	1980462	M	NC_034395
Hantaviridae	Orthohantavirus	Bruges orthohantavirus	1980462	S	NC_034394
Hantaviridae	Orthohantavirus	Cano Delgadito orthohantavirus	1980463	L	NC_034515
Hantaviridae	Orthohantavirus	Cano Delgadito orthohantavirus	1980463	M	NC_034525
Hantaviridae	Orthohantavirus	Cano Delgadito orthohantavirus	1980463	S	NC_034528
Hantaviridae	Orthohantavirus	Cao Bang orthohantavirus	1980464	L	NC_034485
Hantaviridae	Orthohantavirus	Cao Bang orthohantavirus	1980464	M	NC_034474
Hantaviridae	Orthohantavirus	Cao Bang orthohantavirus	1980464	S	NC_034484
Hantaviridae	Orthohantavirus	Choclo orthohantavirus	1980465	L	KT983773
Hantaviridae	Orthohantavirus	Choclo orthohantavirus	1980465	M	NC_038374
Hantaviridae	Orthohantavirus	Choclo orthohantavirus	1980465	S	NC_038373
Hantaviridae	Orthohantavirus	Dabieshan orthohantavirus	1980466	M	NC_038383
Hantaviridae	Orthohantavirus	Dabieshan orthohantavirus	1980466	S	NC_038384
Hantaviridae	Orthohantavirus	Dobrava-Belgrade orthohantavirus	1980467	L	NC_005235
Hantaviridae	Orthohantavirus	Dobrava-Belgrade orthohantavirus	1980467	M	NC_005234
Hantaviridae	Orthohantavirus	Dobrava-Belgrade orthohantavirus	1980467	S	NC_005233
Hantaviridae	Orthohantavirus	El Moro Canyon orthohantavirus	1980468	M	NC_038424
Hantaviridae	Orthohantavirus	El Moro Canyon orthohantavirus	1980468	S	NC_038423
Hantaviridae	Orthohantavirus	Fugong orthohantavirus	1980469	L	NC_034467
Hantaviridae	Orthohantavirus	Fugong orthohantavirus	1980469	M	NC_034466
Hantaviridae	Orthohantavirus	Fugong orthohantavirus	1980469	S	NC_034473
Hantaviridae	Orthohantavirus	Fusong orthohantavirus	1980470	M	NC_038447
Hantaviridae	Orthohantavirus	Fusong orthohantavirus	1980470	S	NC_038446
Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	1980471	L	NC_005222
Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	1980471	M	NC_005219
Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	1980471	S	NC_005218
Hantaviridae	Orthohantavirus	Hantavirus Z10	93830	L	NC_006435
Hantaviridae	Orthohantavirus	Hantavirus Z10	93830	M	NC_006437
Hantaviridae	Orthohantavirus	Hantavirus Z10	93830	S	NC_006433
Hantaviridae	Orthohantavirus	Imjin orthohantavirus	2501369	L	NC_034564
Hantaviridae	Orthohantavirus	Imjin orthohantavirus	2501369	M	NC_034557
Hantaviridae	Orthohantavirus	Imjin orthohantavirus	2501369	S	NC_034558
Hantaviridae	Orthohantavirus	Jeju orthohantavirus	1980473	L	NC_034399
Hantaviridae	Orthohantavirus	Jeju orthohantavirus	1980473	M	NC_034404
Hantaviridae	Orthohantavirus	Jeju orthohantavirus	1980473	S	NC_034398
